pick,player,team
1,Kenyon Martin,NJN
2,Stromile Swift,VAN
3,Darius Miles,LAC
4,Marcus Fizer,CHI
5,Mike Miller,ORL
6,DerMarr Johnson,ATL
7,Chris Mihm,CHI
8,Jamal Crawford,CLE
9,Joel Przybilla,HOU
10,Keyon Dooling,ORL
11,Jérôme Moïso,BOS
12,Etan Thomas,DAL
13,Courtney Alexander,ORL
14,Mateen Cleaves,DET
15,Jason Collier,MIL
16,Hedo Türkoğlu,SAC
17,Desmond Mason,SEA
18,Quentin Richardson,LAC
19,Jamaal Magloire,CHH
20,Speedy Claxton,PHI
21,Morris Peterson,TOR
22,Donnell Harvey,NYK
23,DeShawn Stevenson,UTA
24,Dalibor Bagarić,CHI
25,Jake Tsakalidis,PHO
26,Mamadou N'Diaye,DEN
27,Primož Brezec,IND
28,Erick Barkley,POR
29,Mark Madsen,LAL
30,Marko Jarić,LAC
31,Dan Langhi,DAL
32,A.J. Guyton,CHI
33,Jake Voskuhl,CHI
34,Khalid El-Amin,CHI
35,Mike Smith,WAS
36,Soumaila Samake,NJN
37,Eddie House,MIA
38,Eduardo Nájera,HOU
39,Lavor Postell,NYK
40,Hanno Möttölä,ATL
41,Chris Carrawell,SAS
42,Olumide Oyedeji,SEA
43,Michael Redd,MIL
44,Brian Cardinal,DET
45,Jabari Smith,SAC
46,DeeAndre Hulett,TOR
47,Josip Sesar,SEA
48,Mark Karcher,PHI
49,Jason Hart,MIL
50,Kaniel Dickens,UTA
51,Igor Rakočević,MIN
52,Ernest Brown,MIA
53,Dan McClintock,DEN
54,Cory Hightower,SAS
55,Chris Porter,GSW
56,Jaquay Walls,IND
57,Scoonie Penn,ATL
58,Pete Mickeal,DAL
