pick,player,team
1,John Wall,WAS
2,Evan Turner,PHI
3,Derrick Favors,NJN
4,Wesley Johnson,MIN
5,DeMarcus Cousins,SAC
6,Ekpe Udoh,GSW
7,Greg Monroe,DET
8,Al-Farouq Aminu,LAC
9,Gordon Hayward,UTA
10,Paul George,IND
11,Cole Aldrich,NOH
12,Xavier Henry,MEM
13,Ed Davis,TOR
14,Patrick Patterson,HOU
15,Larry Sanders,MIL
16,Luke Babbitt,MIN
17,Kevin Séraphin,CHI
18,Eric Bledsoe,OKC
19,Avery Bradley,BOS
20,James Anderson,SAS
21,Craig Brackins,OKC
22,Elliot Williams,POR
23,Trevor Booker,MIN
24,Damion James,ATL
25,Dominique Jones,MEM
26,Quincy Pondexter,OKC
27,Jordan Crawford,NJN
28,Greivis Vásquez,MEM
29,Daniel Orton,ORL
30,Lazar Hayward,WAS
31,Tibor Pleiß,NJN
32,Dexter Pittman,MIA
33,Hassan Whiteside,SAC
34,Armon Johnson,POR
35,Nemanja Bjelica,WAS
36,Terrico White,DET
37,Darington Hobson,MIL
38,Andy Rautins,NYK
39,Landry Fields,NYK
40,Lance Stephenson,IND
41,Jarvis Varnado,MIA
42,Da'Sean Butler,MIA
43,Devin Ebanks,LAL
44,Jerome Jordan,MIL
45,Paulão Prestes,MIN
46,Gani Lawal,PHO
47,Tiny Gallon,MIL
48,Latavious Williams,MIA
49,Ryan Richards,SAS
50,Solomon Alabi,DAL
51,Magnum Rolle,OKC
52,Luke Harangody,BOS
53,Pape Sy,ATL
54,Willie Warren,LAC
55,Jeremy Evans,UTA
56,Hamady N'Diaye,MIN
57,Ryan Reid,IND
58,Derrick Caracter,LAL
59,Stanley Robinson,ORL
60,Dwayne Collins,PHO
