pick,player,team
1,Andrew Bogut,MIL
2,Marvin Williams,ATL
3,Deron Williams,UTA
4,Chris Paul,NOH
5,Raymond Felton,CHA
6,Martell Webster,POR
7,Charlie Villanueva,TOR
8,Channing Frye,NYK
9,Ike Diogu,GSW
10,Andrew Bynum,LAL
11,Fran Vázquez,ORL
12,Yaroslav Korolev,LAC
13,Sean May,CHA
14,Rashad McCants,MIN
15,Antoine Wright,NJN
16,Joey Graham,TOR
17,Danny Granger,IND
18,Gerald Green,BOS
19,Hakim Warrick,MEM
20,Julius Hodge,DEN
21,Nate Robinson,PHO
22,Jarrett Jack,DEN
23,Francisco García,SAC
24,Luther Head,HOU
25,Johan Petro,SEA
26,Jason Maxiell,DET
27,Linas Kleiza,POR
28,Ian Mahinmi,SAS
29,Wayne Simien,MIA
30,David Lee,NYK
31,Salim Stoudamire,ATL
32,Daniel Ewing,LAC
33,Brandon Bass,NOH
34,C.J. Miles,UTA
35,Ricky Sánchez,POR
36,Ersan İlyasova,MIL
37,Ronny Turiaf,LAL
38,Travis Diener,ORL
39,Von Wafer,LAL
40,Monta Ellis,GSW
41,Roko Ukić,TOR
42,Chris Taft,GSW
43,Mile Ilić,NJN
44,Martynas Andriuškevičius,ORL
45,Lou Williams,PHI
46,Erazem Lorbek,IND
47,Bracey Wright,MIN
48,Mickaël Gelabale,SEA
49,Andray Blatche,WAS
50,Ryan Gomes,BOS
51,Robert Whaley,UTA
52,Axel Hervelle,DEN
53,Orien Greene,BOS
54,Dijon Thompson,NYK
55,Lawrence Roberts,SEA
56,Amir Johnson,DET
57,Marcin Gortat,PHO
58,Uroš Slokar,TOR
59,Cenk Akyol,ATL
60,Alex Acker,DET
