pick,player,team
1,Shaquille O'Neal,ORL
2,Alonzo Mourning,CHH
3,Christian Laettner,MIN
4,Jim Jackson,DAL
5,LaPhonso Ellis,DEN
6,Tom Gugliotta,WSB
7,Walt Williams,SAC
8,Todd Day,MIL
9,Clarence Weatherspoon,PHI
10,Adam Keefe,ATL
11,Robert Horry,HOU
12,Harold Miner,MIA
13,Bryant Stith,DEN
14,Malik Sealy,IND
15,Anthony Peeler,LAL
16,Randy Woods,LAC
17,Doug Christie,SEA
18,Tracy Murray,SAS
19,Don MacLean,DET
20,Hubert Davis,NYK
21,Jon Barry,BOS
22,Oliver Miller,PHO
23,Lee Mayberry,MIL
24,Latrell Sprewell,GSW
25,Elmore Spencer,LAC
26,Dave Johnson,POR
27,Byron Houston,CHI
28,Marlon Maxey,MIN
29,P.J. Brown,NJN
30,Sean Rooks,DAL
31,Reggie Smith,POR
32,Brent Price,WSB
33,Corey Williams,CHI
34,Chris Smith,MIN
35,Tony Bennett,CHH
36,Duane Cooper,LAL
37,Isaiah Morris,MIA
38,Elmer Bennett,ATL
39,Litterial Green,CHI
40,Steve Rogers,NJN
41,Popeye Jones,HOU
42,Matt Geiger,MIA
43,Sasha Danilović,GSW
44,Henry Williams,SAS
45,Chris King,SEA
46,Robert Werdann,DEN
47,Darren Morningstar,BOS
48,Brian Davis,PHO
49,Ron Ellis,PHO
50,Matt Fish,GSW
51,Tim Burroughs,MIN
52,Matt Steigenga,CHI
53,Curtis Blair,HOU
54,Brett Roberts,SAC
